Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Junction Avenue K-8,Livermore Valley Joint Unified,4533,FREE BREAKFAST & LUNCH for all 18 & under youth through the end of 2020. ,,DESAYUNO Y ALMUERZO GRATIS para todos los jóvenes menores de 18 años hasta finales de 2020.,298 Junction Ave,298 Junction Ave,Livermore,94551,37.6879208,-121.7651691,https://www.livermoreschools.org/Page/9001,childnutrition@lvjusd.org,Open,,Curbside Pickup,Free,School Meals,(925) 606-3200,Livermore Valley Joint Unified - All Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,12:30 PM,,,,,,,,"Breakfast,Lunch",All Children,Alameda,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:36am,Charlie Hoffs,
Marylin Avenue Elementary,Livermore Valley Joint Unified,4534,FREE BREAKFAST & LUNCH for all 18 & under youth through the end of 2020. ,,DESAYUNO Y ALMUERZO GRATIS para todos los jóvenes menores de 18 años hasta finales de 2020.,800 Marylin Ave,800 Marylin Ave,Livermore,94551,37.6847506,-121.7859982,https://www.livermoreschools.org/Page/9001,childnutrition@lvjusd.org,Open,,Curbside Pickup,Free,School Meals,(925) 606-3200,Livermore Valley Joint Unified - All Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00 AM,12:30 PM,,,,,,,,"Breakfast,Lunch",All Children,Alameda,11/8/2020,Charlie,Matthew Choi,Vetted,11/12/2020 6:36am,Charlie Hoffs,
Alameda Point Collaborative,Alameda Unified,4535,All youth can receive these free meals; no ID needed. Children do not need to be present for adults to pick up food.,,Todos los jóvenes pueden recibir estas comidas gratuitas; no se necesita identificación. No es necesario que los niños estén presentes para que los adultos recojan la comida.,677 W. Ranger Ave,677 W. Ranger Ave,Alameda,94607,37.7846859,-122.2991632,https://www.alameda.k12.ca.us/,pscuderi@alamedaunified.org,Closed,,Curbside Pickup,Free,School Meals,(510) 337-7079,,,,,,,,,,,,,All Children,Alameda,10/28/2020,Clarissa,Clarissa Lee,Vetting In Progress,11/12/2020 6:29am,Charlie Hoffs,
Earheart Elementary School,Alameda Unified,4536,All youth can receive these free meals; no ID needed. Children do not need to be present for adults to pick up food.,,Todos los jóvenes pueden recibir estas comidas gratuitas; no se necesita identificación. No es necesario que los niños estén presentes para que los adultos recojan la comida.,400 Packet Landing Road,400 Packet Landing Road,Alameda,94502,37.745864,-122.239719,https://www.alameda.k12.ca.us/,pscuderi@alamedaunified.org,Open,,Curbside Pickup,Free,School Meals,(510) 337-7079,Alameda Unified - All Schools,"Tuesday, Friday",11:00 am,1:00 pm,,,,,,,,"Breakfast,Lunch,Dinner,Snack",All Children,Alameda,11/11/2020,Charlie,Alvin Lee,Vetted,11/12/2020 6:29am,Charlie Hoffs,
Wood Middle School,Alameda Unified,4537,All youth can receive these free meals; no ID needed. Children do not need to be present for adults to pick up food.,,Todos los jóvenes pueden recibir estas comidas gratuitas; no se necesita identificación. No es necesario que los niños estén presentes para que los adultos recojan la comida.,420 Grand Street,420 Grand Street,Alameda,94607,37.7997836,-122.2798795,https://www.alameda.k12.ca.us/,pscuderi@alamedaunified.org,Open,,Curbside Pickup,Free,School Meals,(510) 337-7079,Alameda Unified - All Schools,"Tuesday, Friday",11:00 am,1:00 pm,,,,,,,,"Breakfast,Lunch,Dinner,Snack",All Children,Alameda,11/11/2020,Charlie,Alvin Lee,Vetted,11/12/2020 6:29am,Charlie Hoffs,
College of Alameda,Alameda Unified,4538,All youth can receive these free meals; no ID needed. Children do not need to be present for adults to pick up food.,,Todos los jóvenes pueden recibir estas comidas gratuitas; no se necesita identificación. No es necesario que los niños estén presentes para que los adultos recojan la comida.,555 Ralph Appezzato Memorial Parkway,555 Ralph Appezzato Memorial Parkway,Alameda,94501,37.7799432,-122.2814845,https://www.alameda.k12.ca.us/,pscuderi@alamedaunified.org,Closed,,Curbside Pickup,Free,School Meals,(510) 337-7079,               College of Alameda,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24 Hours,,,,,,,,,,All Children,Alameda,10/17/2020,Clarissa,Clarissa Lee,Vetted,11/11/2020 1:30pm,Charlie Hoffs,
Albany High School,Albany Unified,4539,You do not need a barcode. Social distancing measures are in effect. Face coverings are required. Children do not need to be present to pick up food. ,,No necesita un código. Estamos tomando medidas de distanciamiento social. Se requieren mascarillas. Los niños no necesitan estar presentes para recoger alimentos.,603 Key Route Blvd.,603 Key Route Blvd.,Albany,94707,37.8965494,-122.2925633,https://www.ausdk12.org/apps/news/article/1287226,,Open,,Curbside Pickup,Free,School Meals,(510) 558-2608,Albany High School,"Monday, Wednesday, Friday",11:30 AM,1:30 PM,,,,,,,,"Breakfast,Lunch,Dinner,Snack",All Children,Alameda,11/11/2020,Charlie,Alvin Lee,Vetted,11/12/2020 6:29am,Charlie Hoffs,
Berkeley Arts Magnet Elementary,Berkeley Unified,4540,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",2015 Virginia St,2015 Viriginia St,Berkeley,94709,37.876388,-122.271007,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,Alameda,11/8/2020,Charlie,Alvin Lee,Vetted,11/12/2020 6:33am,Charlie Hoffs,
Washington Elementary,Berkeley Unified,4541,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",2300 M L King Jr. Way,2300 M L King Jr. Way,Berkeley,94707,37.8927,-122.2761,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,Alameda,11/8/2020,Charlie,Alvin Lee,Vetted,11/12/2020 6:33am,Charlie Hoffs,
Rosa Parks Elementary,Berkeley Unified,4542,"Nutrition Services will now provide meals for all seven days of the week. On Fridays Grab and Go meals will include breakfast and lunch for Friday, Saturday and Sunday.",,"Ofrecemos comidas los siete días de la semana. Los viernes, las comidas incluirán el desayuno y almuerzo para los viernes, sábados y domingos.",920 Allston Way,920 Allston Way,Berkeley,94710,37.8651487,-122.2950161,https://www.berkeleyschools.net/departments/nutrition-services/meal-program-2020-21/,superintendent@berkeley.net,Open,,"In person,Curbside Pickup",Free,School Meals,,Berkeley Unified - All Schools,"Monday, Wednesday, Friday",7:45 AM,11:00 AM,,,,,,,,"Breakfast,Lunch",All Children,Alameda,11/8/2020,Charlie,Alvin Lee,Vetted,11/12/2020 6:33am,Charlie Hoffs,
